type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2021-02-13 14:32:45+0000,3925,0.0,1.8000001,0.0,0.0,244.0
9,2021-02-13 14:10:39+0000,747,1.1049724,0.06403688,3442.0,0.21701188,85.0
9,2021-02-12 12:09:46+0000,998,0.698324,0.09401147,3510.0,0.28396574,84.0
16,2021-02-12 10:58:52+0000,4026,0.0,1.8000001,0.0,0.0,239.0
9,2021-02-12 10:38:40+0000,778,1.633987,0.07502438,3451.0,0.22514676,77.0
9,2021-02-12 10:33:37+0000,288,0.6849315,0.14156285,534.0,0.5385325,30.0
9,2021-02-11 12:03:48+0000,962,1.4104372,0.06515083,3556.0,0.27023238,116.0
16,2021-02-11 10:54:14+0000,3948,0.0,1.8000001,0.0,0.0,203.0
9,2021-02-11 10:33:40+0000,803,0.94966763,0.09491268,3529.0,0.227221,80.0
9,2021-02-06 13:49:08+0000,957,1.0060362,0.06416838,3482.0,0.27453575,71.0
16,2021-02-06 12:39:22+0000,3593,0.0,1.8000001,0.0,0.0,178.0
9,2021-02-06 12:02:12+0000,1699,4.6296296,0.11830119,7098.0,0.23935512,165.0
9,2021-02-05 23:45:24+0000,2072,1.5337423,0.06626027,10511.0,0.19702017,242.0
9,2021-02-05 12:06:49+0000,974,0.9066183,0.06933851,3413.0,0.285036,62.0
16,2021-02-05 10:56:14+0000,3957,0.0,1.8000001,0.0,0.0,213.0
9,2021-02-05 10:32:05+0000,761,0.9407338,0.0685777,3458.0,0.21975298,87.0
9,2021-02-04 23:27:54+0000,2322,2.6385224,0.06801796,10740.0,0.21618174,348.0
9,2021-02-04 19:47:21+0000,772,0.46382192,0.113739766,3968.0,0.19453898,93.0
9,2021-02-04 17:32:37+0000,1319,1.1778563,0.060782883,6685.0,0.19713527,186.0
9,2021-02-04 12:05:11+0000,965,0.82304525,0.070997514,3406.0,0.283315,83.0
16,2021-02-04 11:17:59+0000,2521,0.0,1.8000001,0.0,0.0,120.0
9,2021-02-04 10:34:35+0000,705,4.6511626,0.0655351,3436.0,0.20514274,97.0
9,2021-02-03 11:59:27+0000,932,1.0741138,0.071648635,3564.0,0.2611848,52.0
16,2021-02-03 10:52:30+0000,3780,0.0,1.8000001,0.0,0.0,215.0
9,2021-02-03 10:32:30+0000,734,4.0,0.062774636,3456.0,0.21208411,60.0
9,2021-02-02 12:59:03+0000,989,0.80128205,0.07273785,3428.0,0.28847948,102.0
